$03FFFFFF (    MOV) = 1:  0.00%, 2:  1.31%, 3: 70.14%, 4: 28.55%, 5: NEVER , 
$03FFFFFF (logical) = 1:  0.00%, 2:  1.28%, 3: 67.07%, 4: 31.64%, 5: NEVER , 
$03FFFFFF (ADD/SUB) = 1:  0.00%, 2:  1.30%, 3: 69.69%, 4: 29.00%, 5: NEVER , 
$03FFFFFF (Offs.12) = 1:  0.01%, 2:  5.10%, 3: 94.90%, 4: NEVER , 5: NEVER , 
$03FFFFFF (Offs.10) = 1:  0.00%, 2:  1.57%, 3: 98.43%, 4: NEVER , 5: NEVER , 
$03FFFFFF (Offs. 8) = 1:  0.00%, 2:  0.47%, 3: 58.21%, 4: 41.33%, 5: NEVER , 
$03FFFFFF (Offs. 6) = 1:  0.00%, 2:  0.13%, 3: 26.45%, 4: 73.41%, 5: NEVER , 

$07FFFFFF (    MOV) = 1:  0.00%, 2:  0.73%, 3: 52.34%, 4: 46.93%, 5: NEVER , 
$07FFFFFF (logical) = 1:  0.00%, 2:  0.71%, 3: 47.59%, 4: 51.69%, 5: NEVER , 
$07FFFFFF (ADD/SUB) = 1:  0.00%, 2:  0.73%, 3: 51.59%, 4: 47.67%, 5: NEVER , 
$07FFFFFF (Offs.12) = 1:  0.00%, 2:  2.76%, 3: 97.24%, 4: NEVER , 5: NEVER , 
$07FFFFFF (Offs.10) = 1:  0.00%, 2:  0.84%, 3: 72.89%, 4: 26.27%, 5: NEVER , 
$07FFFFFF (Offs. 8) = 1:  0.00%, 2:  0.25%, 3: 37.64%, 4: 62.11%, 5: NEVER , 
$07FFFFFF (Offs. 6) = 1:  0.00%, 2:  0.07%, 3: 15.99%, 4: 83.94%, 5: NEVER , 

$0FFFFFFF (    MOV) = 1:  0.00%, 2:  0.45%, 3: 44.40%, 4: 55.15%, 5: NEVER , 
$0FFFFFFF (logical) = 1:  0.00%, 2:  0.43%, 3: 37.85%, 4: 61.72%, 5: NEVER , 
$0FFFFFFF (ADD/SUB) = 1:  0.00%, 2:  0.45%, 3: 43.56%, 4: 55.98%, 5: NEVER , 
$0FFFFFFF (Offs.12) = 1:  0.00%, 2:  1.59%, 3: 98.41%, 4: NEVER , 5: NEVER , 
$0FFFFFFF (Offs.10) = 1:  0.00%, 2:  0.47%, 3: 60.13%, 4: 39.40%, 5: NEVER , 
$0FFFFFFF (Offs. 8) = 1:  0.00%, 2:  0.14%, 3: 27.36%, 4: 72.51%, 5: NEVER , 
$0FFFFFFF (Offs. 6) = 1:  0.00%, 2:  0.04%, 3: 10.76%, 4: 89.20%, 5: NEVER , 

$1FFFFFFF (    MOV) = 1:  0.00%, 2:  0.27%, 3: 33.86%, 4: 65.87%, 5: NEVER , 
$1FFFFFFF (logical) = 1:  0.00%, 2:  0.24%, 3: 26.33%, 4: 73.43%, 5: NEVER , 
$1FFFFFFF (ADD/SUB) = 1:  0.00%, 2:  0.26%, 3: 33.05%, 4: 66.69%, 5: NEVER , 
$1FFFFFFF (Offs.12) = 1:  0.00%, 2:  0.85%, 3: 76.68%, 4: 22.46%, 5: NEVER , 
$1FFFFFFF (Offs.10) = 1:  0.00%, 2:  0.25%, 3: 40.26%, 4: 59.48%, 5: NEVER , 
